name,tier,lines,quests,aliases,removed_content_only,formats,wiki_url,image_url,appears_in
Tasim,legendary,1138,20,Sovereign Tasim,False,"quest,template",https://wynncraft.wiki.gg/wiki/Tasim,https://wynncraft.wiki.gg/images/Tasim%28InfestedPlants%29.png?fbd363,A Hunter's Calling | Apotheosis (Quest) | Arachnids' Ascent | Echoes of Change | Elemental Exercise | Ensemble of Hope | Infested Pit | Infested Plants | King's Recruit | King's Recruit (1.18) | King's Recruit (2.1) | Mushroom Man
Sui,legendary,812,11,,False,quest,https://wynncraft.wiki.gg/wiki/Sui,https://wynncraft.wiki.gg/images/Sui%28Revelations_in_Fall_stage_7%29.png?752aac,A New Beginning | Apotheosis (Quest) | Echoes of Change | Ensemble of Hope | Overture to Despair | Revelations in Fall | Shrouded in Mist | Solidarity of Steel | The Cursed One | The Price of Ingenuity | True Colours
Ava,legendary,790,4,,False,quest,https://wynncraft.wiki.gg/wiki/Ava,https://wynncraft.wiki.gg/images/Ava.png?54d7d7,Ava | Maxie | The Feathers Fly Part I | The Feathers Fly Part II
Rex,legendary,586,10,,False,quest,https://wynncraft.wiki.gg/wiki/Rex,https://wynncraft.wiki.gg/images/Rex%28Echoes_of_Change_stage_10%29.png?ab9a2c,A New Beginning | Apotheosis (Quest) | Echoes of Change | Ensemble of Hope | One Thousand Meters Under | Overture to Despair | Revelations in Fall | Solidarity of Steel | The Cursed One | The Price of Ingenuity
Zeph,legendary,548,9,,False,quest,https://wynncraft.wiki.gg/wiki/Zeph,https://wynncraft.wiki.gg/images/ZephPortraitNeutral.png?b76c84,A New Beginning | Apotheosis (Quest) | Echoes of Change | Ensemble of Hope | Overture to Despair | Revelations in Fall | Solidarity of Steel | The Cursed One | The Price of Ingenuity
Syndra,legendary,393,7,,False,quest,https://wynncraft.wiki.gg/wiki/Syndra,https://wynncraft.wiki.gg/images/Syndra.png?8ce777,A New Beginning | Echoes of Change | Revelations in Fall | Solidarity of Steel | The Cursed One | The Missing Piece | The Price of Ingenuity
Aster,legendary,385,6,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Aster,https://wynncraft.wiki.gg/images/Aster.png?682f3c,Aster | Charm of Twilight | Emblem of the Heroes | Hero's Mask | Minstrel's Tuner | The Traveler
Aledar,legendary,373,14,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Aledar,https://wynncraft.wiki.gg/images/Aledar.png?eacfe7,A Hunter's Calling | A Journey Beyond | A Journey Further | Aledar | Arachnids' Ascent | Infested Pit | King's Recruit | King's Recruit (1.18) | King's Recruit (2.1) | Mushroom Man | Recover the Past | Recover the Past (2.2.2)
Bonfire Keeper,legendary,369,13,Bonfire Tender,False,"quest,template",https://wynncraft.wiki.gg/wiki/Bonfire_Keeper,https://wynncraft.wiki.gg/images/BonfireKeeper%28BattlefortheBonfire%29.png?3c2cbe,Aster | Bonfire Keeper | Corkian Firecrackers | Hearthflame Stave | Rune of Acceleration | Rune of Stamina | Rune of the Mountains | Rune of the Rainfall | Rune of the Storms | Rune of the Sunrise | Rune of the Winds | Sunlit Copper Coin
The Traveler,legendary,368,5,,False,template,https://wynncraft.wiki.gg/wiki/The_Traveler,https://wynncraft.wiki.gg/images/TheTraveler.png?f4d766,Aster | Emblem of the Bonfire | Emblem of the Spirits | Stormcaller | The Traveler
Seaskipper Captain,legendary,363,3,,False,quest,https://wynncraft.wiki.gg/wiki/Seaskipper_Captain,https://wynncraft.wiki.gg/images/SeaskipperCaptain.png?cb27ed,Misadventure on the Sea | Queen's Recruit | Seaskipper Captain
Lari,legendary,361,11,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Lari,https://wynncraft.wiki.gg/images/Lari.png?a4c818,A Dividing Force | A Headless History | Aldorei's Secret Part II | At the Edge of Decay | Death Whistle (Quest) | Finding the Light | Memory Paranoia | Rise of the Quartron | Taproot | The Realm of Light (Quest) | The Worm Holes
Efena,legendary,301,4,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Efena,https://wynncraft.wiki.gg/images/Efena.png?e1e4ed,Citizen | Efena | Non-Quest NPCs | The Feathers Fly Part II
Yusanu,legendary,299,7,,False,quest,https://wynncraft.wiki.gg/wiki/Yusanu,,Apotheosis (Quest) | Echoes of Change | Ensemble of Hope | Shrouded in Mist | Solidarity of Steel | The Price of Ingenuity | True Colours
Olon,epic,287,2,,False,quest,https://wynncraft.wiki.gg/wiki/Olon,https://wynncraft.wiki.gg/images/Olon.png?7548f3,Aldorei's Secret Part II | Olon
Yuman,epic,272,5,,False,quest,https://wynncraft.wiki.gg/wiki/Yuman,https://wynncraft.wiki.gg/images/YumanSmilingPortrait.png?64558f,Apotheosis (Quest) | Echoes of Change | Ensemble of Hope | Solidarity of Steel | The Price of Ingenuity
Maxie,epic,262,7,,False,quest,https://wynncraft.wiki.gg/wiki/Maxie,https://wynncraft.wiki.gg/images/Maxie%28Hostile%2CAHunter%27sCalling%29.png?13f9cb,A Hunter's Calling | Maxie | Rhay | The Breaking Point | The Envoy Part I | The Envoy Part II | The Feathers Fly Part II
Dr. Picard,epic,249,5,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Dr._Picard,https://wynncraft.wiki.gg/images/Dr.Picard.png?f91eb7,Dr. Picard | Queen's Recruit | Recover the Past | Recover the Past (2.0.2) | Recover the Past (2.2.2)
Elise,epic,246,1,,False,quest,https://wynncraft.wiki.gg/wiki/Elise,https://wynncraft.wiki.gg/images/ElisePortraitNeutral.png?33b8fe,The Missing Piece
Rurie,epic,244,4,,False,quest,,,Apotheosis (Quest) | Ensemble of Hope | Shrouded in Mist | True Colours
Death,epic,211,2,,False,quest,https://wynncraft.wiki.gg/wiki/Death,https://wynncraft.wiki.gg/images/Death.png?650731,Beyond the Grave | Beyond the Grave (1.20)
Sovereign Zhiraok,epic,203,10,Zhiraok,False,quest,https://wynncraft.wiki.gg/wiki/Sovereign_Zhiraok,https://wynncraft.wiki.gg/images/SovereignZhiraok.png?5a93a0,A New Beginning | Apotheosis (Quest) | Echoes of Change | Ensemble of Hope | Queen's Recruit | Revelations in Fall | Solace in Pain | Solidarity of Steel | The Cursed One | The Price of Ingenuity
Her Majesty,epic,200,7,,False,quest,https://wynncraft.wiki.gg/wiki/Her_Majesty,https://wynncraft.wiki.gg/images/QueenOfFruma.png?fcfc1e,Apotheosis (Quest) | Echoes of Change | Ensemble of Hope | Overture to Despair | Queen's Recruit | The Cursed One | The Price of Ingenuity
Drale,epic,196,5,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Drale,https://wynncraft.wiki.gg/images/Drale%28Cowfusion%29.png?318a09,A Confused Farmer | Cowfusion | Cowfusion (1.20) | Drale | Tunnel Trouble
Mora,epic,189,7,,False,quest,https://wynncraft.wiki.gg/wiki/Mora,https://wynncraft.wiki.gg/images/Mora%28GuardUniform%29.png?2db8a8,A Journey Home | A New Beginning | Echoes of Change | Revelations in Fall | Solidarity of Steel | The Cursed One | The Price of Ingenuity
Siegfried,epic,180,3,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Siegfried,https://wynncraft.wiki.gg/images/MonumenttoSiegfried.png?d937ab,Aster | Siegfried (Festival of the Heroes) | The Hero of Gavel
Fichu,epic,171,1,,False,quest,,https://wynncraft.wiki.gg/images/Fichu.png?d184a8,Through the Pipes
Quill,epic,158,5,,False,quest,https://wynncraft.wiki.gg/wiki/Quill,,Apotheosis (Quest) | Echoes of Change | Ensemble of Hope | Solidarity of Steel | The Price of Ingenuity
Sybil,epic,157,4,,False,quest,https://wynncraft.wiki.gg/wiki/Sybil,https://wynncraft.wiki.gg/images/Sybil%28Detlas%29.png?2c9c5d,Citizen | Non-Quest NPCs | Sybil | The Feathers Fly Part II
Kelight,epic,149,2,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Kelight,https://wynncraft.wiki.gg/images/Kelight.png?317768,Kelight | Temple of the Legends (Quest)
Axelus,epic,147,4,,False,quest,https://wynncraft.wiki.gg/wiki/Axelus,https://wynncraft.wiki.gg/images/Axelus.png?287e39,Dwarves and Doguns Part I | Dwarves and Doguns Part II | Dwarves and Doguns Part IV | From the Mountains
Yulie,epic,146,5,,False,quest,https://wynncraft.wiki.gg/wiki/Yulie,,Apotheosis (Quest) | Echoes of Change | Ensemble of Hope | Solidarity of Steel | The Price of Ingenuity
Teacher,epic,144,1,,False,quest,,,The Order of the Grook
The Guide,epic,140,4,,False,template,https://wynncraft.wiki.gg/wiki/The_Guide,https://wynncraft.wiki.gg/images/TheGuide.png?9310b4,Emblem of the Spirits | Festival of the Spirits Mystery (2025) | The Envoy | The Guide
Honip,epic,138,2,,False,quest,https://wynncraft.wiki.gg/wiki/Honip,https://wynncraft.wiki.gg/images/Honip%28Nemract%29.png?9b38f2,Honip | Misadventure on the Sea
Afelis,epic,136,1,,False,template,https://wynncraft.wiki.gg/wiki/Afelis,https://wynncraft.wiki.gg/images/Afelis%28Ragni%29.png?739991,Afelis
Jofash Resident,epic,136,1,,False,quest,,https://wynncraft.wiki.gg/images/JofashResident.png?57c672,Fantastic Voyage
Reynauld,epic,136,5,Scout Reynauld,False,quest,https://wynncraft.wiki.gg/wiki/Reynauld,https://wynncraft.wiki.gg/images/ScoutReynauld.png?fc65ba,Queen's Recruit | Recover the Past | Recover the Past (2.0.2) | Recover the Past (2.2.2) | Reynauld
Ope,epic,131,4,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Ope,https://wynncraft.wiki.gg/images/Ope.png?f0bb93,Infested Plants | Infested Plants (2.0.2) | Ope | Supply and Delivery
Sovereign Majin,epic,130,5,,False,quest,https://wynncraft.wiki.gg/wiki/Sovereign_Majin,https://wynncraft.wiki.gg/images/SovereignMajin.png?49cb7b,Apotheosis (Quest) | Ensemble of Hope | Overture to Despair | Queen's Recruit | The Strong Survive
Zuett,epic,129,2,,False,quest,https://wynncraft.wiki.gg/wiki/Zuett,https://wynncraft.wiki.gg/images/Zuett.png?13546b,All Roads to Peace | Zuett
Arnol,epic,127,2,,False,quest,,,Ensemble of Hope | The Strong Survive
Sovereign Two,epic,125,3,,False,quest,https://wynncraft.wiki.gg/wiki/Sovereign_Two,https://wynncraft.wiki.gg/images/SovereignTwo%28Queen%27sRecruit%29.png?88f4af,Apotheosis (Quest) | Ensemble of Hope | Overture to Despair
Canary,epic,125,1,,False,quest,,,The Canary Calls
Relend,epic,123,3,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Relend,https://wynncraft.wiki.gg/images/Relend.png?de69d2,Fantastic Voyage | Fantastic Voyage (1.20) | Relend
Santa,epic,120,4,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Santa,https://wynncraft.wiki.gg/images/Santa%28CraftmasChaos%29.png?b0eee0,Craftmas Chaos | Craftmas Quest | Meaningful Holiday | Santa
Dodegar,epic,119,3,,False,quest,https://wynncraft.wiki.gg/wiki/Dodegar,https://wynncraft.wiki.gg/images/Dodegar%28FestivaloftheBonfire%29.png?3b0915,Dodegar | The Ultimate Weapon | The Ultimate Weapon (1.20)
