Date,Healer,Guards,Dps(s),Guild,HQ Name,Difficulty (Conns),Difficulty (Dmg Raw),Difficulty (Dmg)
08/11/2025,Kenji,"Loca, Rippi","Tex, Zombie",BFS,Corkus City,1 conn,50017,50k
10/11/2025,Kenji,"Vico, kio","iga, Squid",Seq,Corrupted Warfront,1 conn,78975,78k
12/11/2025,Kenji,"a3, Vico","Zombie, iga",Seq,Corrupted Warfront,0 conn,56700,56k
13/11/2025,Kenji,"a3, Squid","kio, iga",PLHR,Cinfras Outskirts,0 conn,54675,54k
15/11/2025,Tex,"kio, Rippi","Kenji, iga",BFS,Corkus City,0 conn,40500,40k
15/11/2025,Tex,"kio, Rippi","Kenji, iga",RATC,Almuj,0 conn,36450,36k
15/11/2025,Tex,"kio, Rippi","Kenji, iga",ANO,Nodguj Nation,2 conn,71280,71k
15/11/2025,Tex,"Rippi, kio","Kenji, Squid",ESI,Central Islands,0 conn,44550,44k
15/11/2025,Kenji,"Squid, Rippi","kio, iga",PROF,Toxic Drip,3 conn,29925,29k
15/11/2025,Kenji,"Squid, Rippi","kio, iga",Seq,Corrupted Warfront,0 conn,58725,58k
15/11/2025,Kenji,"Squid, Rippi","kio, iga",Aeq,Bloody Trail,0 conn,56700,56k
16/11/2025,Kenji,"Squid, Rippi","progamer, iga",ETKW,Bandit's Toll,0 conn,52650,52k
16/11/2025,Kenji,"Tex, Rippi","Zombie, iga",BFS,Corkus City,2 conn,68040,68k
16/11/2025,Kenji,"Squid, Rippi","iga, kio",Seq,Corrupted Warfront,0 conn,58725,58k
16/11/2025,Kenji,"Squid, Rippi","iga, kio",BFS,Corkus City,4 conn,91080,91k
17/11/2025,Kenji,"Rippi, Squid","iga, Tex",TBGM,Cinfras Outskirts,0 conn,54675,54k
17/11/2025,Tex,"Goose, Vico",iga,BFS,Corkus City,2 conn,55440,55k
17/11/2025,Tex,"Goose, Iga",Vico,ETKW,Bandit's Toll,0 conn,52650,52k
19/11/2025,Tex,"Goose, Rippi","iga, Zombie",RATC,Almuj,0 conn,36450,36k
19/11/2025,Tex,"Goose, Rippi","iga, Zombie",Seq,Corrupted Warfront,0 conn,58725,58k
21/11/2025,Tex,"Squid, Iga",Vico,ETKW,Bandit's Toll,1 conn,71077,71k
21/11/2025,Tex,"Squid, Vico","iga, Zombie",Seq,Corrupted Warfront,0 conn,58725,58k
22/11/2025,Kenji,"Rippi, kio","Tex, iga",Seq,Corrupted Warfront,1 conn,78795,78k
22/11/2025,Kenji,"kio, Rippi","Tex, iga",BFS,Corkus City,0 conn,38475,38k
22/11/2025,Tex,"Norman, Goose","Gonner, kio",RATC,Almuj,1 conn,50017,50k
23/11/2025,Tex,"Gonner, Squid","kio, iga",Seq,Corrupted Warfront,1 conn,78795,78k
24/11/2025,Tex,"Goose, Squid",iga,BFS,Corkus City,0 conn,38475,38k
24/11/2025,Tex,"Gonner, Zombie",iga,BFS,Corkus City,0 conn,40500,40k
24/11/2025,Tex,"Gonner, Rippi","iga, Kenji",ANO,Nodguj Nation,1 conn,55282,55k
24/11/2025,Tex,"Zombie, Squid","Gonner, iga",BFS,Corkus City,1 conn,55282,55k
25/11/2025,Tex,"Goose, Fallen",iga,BFS,Corkus City,0 conn,40500,40k
26/11/2025,Tex,"a3, Squid","Kenji, kio",Seq,Corrupted Warfront,0 conn,58725,58k
28/11/2025,Kenji,"Iga, Zombie","Goose, kio",ESI,Cinfras Outskirts,0 conn,54675,54k
29/11/2025,Kio,"Norman, Zombie",iga,BFS,Corkus City,0 conn,38475,38k
29/11/2025,Tex,"Zombie, Squid","kio, iga",Seq,Corrupted Warfront,0 conn,54675,54k
30/11/2025,Tex,"kio, Rippi",Squid,BFS,Corkus City,0 conn,40500,40k
01/12/2025,Iga,"Restless, Rippi","Squid, Goose",BFS,Corkus City,0 conn,40500,40k
01/12/2025,Tex,"Restless, Zombie","iga, Gonner",BFS,Corkus City,0 conn,40500,40k
03/12/2025,Kenji,"Squid, Rippi","kio, iga",BFS,Corkus City,0 conn,40500,40k
04/12/2025,Kenji,"Rippi, Zombie","iga, Gonner",ANO,Nodguj Nation,1 conn,55282,55k
04/12/2025,Kenji,"Rippi, Zombie","iga, Gonner",Aeq,Bloody Trail,0 conn,56700,56k
05/12/2025,Tex,"Rippi, Goose","iga, Gonner",ETKW,Bandit's Toll,0 conn,52650,52k
06/12/2025,Kenji,"Rippi, a3","iga, Squid",BFS,Corkus City,Dry,89062,89k
06/12/2025,Kenji,"Rippi, a3","iga, Squid",BFS,Corkus City,4 conn,106920,106k
06/12/2025,Kenji,"a3, Squid","Zombie, kio",BFS,Corkus City,Dry,117187,117k
07/12/2025,Theo,"Goose, Rippi","Gonner, Tex",BFS,Corkus City,0 conn,12150,12k
12/12/2025,Kenji,"Gonner, Rippi","iga, kio",ESI,Cinfras Outskirts,0 conn,54675,54k
16/12/2025,Kenji,"Squid, Rippi","iga, Gonner",ANO,Nodguj Nation,1 conn,55282,55k
16/12/2025,Tex,"Sonny, Zombie","iga, Gonner",Aeq,Bloody Trail,0 conn,48300,48k
16/12/2025,Tex,"Sonny, Zombie","iga, Gonner",ESI,Cinfras Outskirts,0 conn,54675,54k
17/12/2025,Tex,"Sonny, a3","iga, Gonner",Seq,Corrupted Warfront,1 conn,78975,78k
18/12/2025,Kenji,"Spydog, Squid","iga, kio",BFS,Corkus City,0 conn,36450,36k
18/12/2025,Kenji,"Spydog, Squid","iga, kio",ESI,Cinfras Outskirts,0 conn,54675,54k
18/12/2025,Tex,"Fallen, a3",Kenji,BFS,Corkus City,1 conn,55282,55k
19/12/2025,Tex,"Zombie, Iga",Kenji,BFS,Corkus City,4 conn,45045,45k
19/12/2025,Tex,"Snowbunny, Squid","iga, Gonner",Aeq,Bloody Trail,0 conn,56700,56k
20/12/2025,Tex,"Snowbunny, Squid","iga, Kenji",BFS,Corkus City,0 conn,38475,38k
20/12/2025,Tex,"Zombie, Sonny",iga,BFS,Corkus City,0 conn,34500,34k
20/12/2025,Tex,"Zombie, Sonny",iga,PUN,Central Islands,0 conn,44550,44k
21/12/2025,Tex,"Goose, Rippi","Kenji, iga",BFS,Corkus City,0 conn,40500,40k
21/12/2025,Sonny,"Fallen, Squid","iga, Tex",ESI,Cinfras Outskirts,0 conn,54675,54k
,,,,,,,81000,81k
,,,,,,,55282,55k
,,,,,,,Difficulty (Dmg Raw),Difficulty (Dmg)
,,,,,,,81000,81k
,,,,,,,38475,38k
,,,,,,,43320,43k
,,,,,,,52650,52k
,,,,,,,81000,81k
,,,,,,,55282,55k
,,,,,,,Difficulty (Dmg Raw),Difficulty (Dmg)
,,,,,,,81000,81k
,,,,,,,38475,38k
,,,,,,,43320,43k
,,,,,,,52650,52k
,,,,,,,81000,81k
,,,,,,,55282,55k
,,,,,,,Difficulty (Dmg Raw),Difficulty (Dmg)
,,,,,,,81000,81k
,,,,,,,38475,38k
,,,,,,,43320,43k
,,,,,,,52650,52k
,,,,,,,81000,81k
,,,,,,,55282,55k
,,,,,,,Difficulty (Dmg Raw),Difficulty (Dmg)
,,,,,,,81000,81k
,,,,,,,38475,38k
,,,,,,,43320,43k
,,,,,,,52650,52k
,,,,,,,81000,81k
,,,,,,,55282,55k
,,,,,,,Difficulty (Dmg Raw),Difficulty (Dmg)
,,,,,,,81000,81k
,,,,,,,38475,38k
,,,,,,,43320,43k
,,,,,,,52650,52k
,,,,,,,81000,81k
,,,,,,,55282,55k
,,,,,,,Difficulty (Dmg Raw),Difficulty (Dmg)
,,,,,,,81000,81k
,,,,,,,38475,38k
,,,,,,,43320,43k
,,,,,,,52650,52k
,,,,,,,81000,81k
,,,,,,,55282,55k
,,,,,,,Difficulty (Dmg Raw),Difficulty (Dmg)
,,,,,,,81000,81k
,,,,,,,38475,38k
,,,,,,,43320,43k
,,,,,,,52650,52k
,,,,,,,81000,81k
,,,,,,,55282,55k
,,,,,,,Difficulty (Dmg Raw),Difficulty (Dmg)
,,,,,,,81000,81k
,,,,,,,38475,38k
,,,,,,,43320,43k
,,,,,,,52650,52k
,,,,,,,81000,81k
,,,,,,,55282,55k
,,,,,,,Difficulty (Dmg Raw),Difficulty (Dmg)
,,,,,,,81000,81k
,,,,,,,38475,38k
,,,,,,,43320,43k
,,,,,,,52650,52k
,,,,,,,81000,81k
,,,,,,,55282,55k
,,,,,,,Difficulty (Dmg Raw),Difficulty (Dmg)
,,,,,,,81000,81k
,,,,,,,38475,38k
,,,,,,,43320,43k
,,,,,,,52650,52k
,,,,,,,81000,81k
,,,,,,,55282,55k
,,,,,,,Difficulty (Dmg Raw),Difficulty (Dmg)
,,,,,,,81000,81k
,,,,,,,38475,38k
,,,,,,,43320,43k
,,,,,,,52650,52k
,,,,,,,81000,81k
,,,,,,,55282,55k
,,,,,,,Difficulty (Dmg Raw),Difficulty (Dmg)
,,,,,,,81000,81k
,,,,,,,38475,38k
,,,,,,,43320,43k
,,,,,,,52650,52k
,,,,,,,81000,81k
,,,,,,,55282,55k
,,,,,,,Difficulty (Dmg Raw),Difficulty (Dmg)
,,,,,,,81000,81k
,,,,,,,38475,38k
,,,,,,,43320,43k
,,,,,,,52650,52k
,,,,,,,81000,81k
,,,,,,,55282,55k
,,,,,,,Difficulty (Dmg Raw),Difficulty (Dmg)
,,,,,,,81000,81k
,,,,,,,38475,38k
,,,,,,,43320,43k
,,,,,,,52650,52k
,,,,,,,81000,81k
,,,,,,,55282,55k
,,,,,,,Difficulty (Dmg Raw),Difficulty (Dmg)
,,,,,,,81000,81k
,,,,,,,38475,38k
,,,,,,,43320,43k
,,,,,,,52650,52k
,,,,,,,81000,81k
,,,,,,,55282,55k
,,,,,,,Difficulty (Dmg Raw),Difficulty (Dmg)
,,,,,,,81000,81k
,,,,,,,38475,38k
,,,,,,,43320,43k
,,,,,,,52650,52k
,,,,,,,81000,81k
,,,,,,,55282,55k
,,,,,,,Difficulty (Dmg Raw),Difficulty (Dmg)
,,,,,,,81000,81k
,,,,,,,38475,38k
,,,,,,,43320,43k
,,,,,,,52650,52k
,,,,,,,81000,81k
,,,,,,,55282,55k
,,,,,,,Difficulty (Dmg Raw),Difficulty (Dmg)
,,,,,,,81000,81k
,,,,,,,38475,38k
,,,,,,,43320,43k
,,,,,,,52650,52k
,,,,,,,81000,81k
,,,,,,,55282,55k
,,,,,,,Difficulty (Dmg Raw),Difficulty (Dmg)
,,,,,,,81000,81k
,,,,,,,38475,38k
,,,,,,,43320,43k
,,,,,,,52650,52k
,,,,,,,81000,81k
,,,,,,,55282,55k
,,,,,,,Difficulty (Dmg Raw),Difficulty (Dmg)
,,,,,,,81000,81k
,,,,,,,38475,38k
,,,,,,,43320,43k
,,,,,,,52650,52k
,,,,,,,81000,81k
,,,,,,,55282,55k
,,,,,,,Difficulty (Dmg Raw),Difficulty (Dmg)
,,,,,,,81000,81k
,,,,,,,38475,38k
,,,,,,,43320,43k
,,,,,,,52650,52k
,,,,,,,81000,81k
,,,,,,,55282,55k
,,,,,,,Difficulty (Dmg Raw),Difficulty (Dmg)
,,,,,,,81000,81k
,,,,,,,38475,38k
,,,,,,,43320,43k
,,,,,,,52650,52k
,,,,,,,81000,81k
,,,,,,,55282,55k
,,,,,,,Difficulty (Dmg Raw),Difficulty (Dmg)
,,,,,,,81000,81k
,,,,,,,38475,38k
,,,,,,,43320,43k
,,,,,,,52650,52k
,,,,,,,81000,81k
,,,,,,,55282,55k
,,,,,,,Difficulty (Dmg Raw),Difficulty (Dmg)
,,,,,,,81000,81k
,,,,,,,38475,38k
,,,,,,,43320,43k
,,,,,,,52650,52k
,,,,,,,81000,81k
,,,,,,,55282,55k
